stage,d2,beta_deg,sensor_x,sensor_y,epsilon_step,epsilon_count,worst_case_diameter,mean_diameter,worst_epsilon,bounded_count,unbounded_or_empty_count,diameter_pass_all,circle_pass_all,clear_ready_all,deviation_from_90_deg
refined,200.0,91.0,803.4904812874566,-199.96953903127826,0.020000000000000018,101,28.914413377740686,28.903115341277672,-1.0,101,0,True,False,False,1.0
refined,400.0,91.0,806.9809625749134,-399.9390780625565,0.020000000000000018,101,31.451373936540524,31.43894115440344,-1.0,101,0,True,False,False,1.0
refined,600.0,91.0,810.47144386237,-599.9086170938348,0.020000000000000018,101,35.21209103937162,35.19813348994777,1.0,101,0,True,False,False,1.0
refined,800.0,91.0,813.9619251498268,-799.878156125113,0.020000000000000018,101,39.851607239678046,39.83580467758603,1.0,101,0,True,False,False,1.0
refined,1000.0,91.0,817.4524064372835,-999.8476951563913,0.020000000000000018,101,45.09951945595179,45.08163901222651,-1.0,101,0,False,False,False,1.0
