stage,x,y,clear_ready_coverage,uniform_clear_ready_coverage
2m,686.0,430.0,0.2617486338797814,0.36666666666666664
1m,686.0,430.0,0.2617486338797814,0.36666666666666664
0.5m,686.0,429.5,0.2617486338797814,0.36666666666666664
