x,y,movement_distance,area_weighted_coverage,uniform_r_alpha_coverage,area_rank,uniform_rank
690.0,450.0,823.7718130647588,0.2617486338797814,0.36666666666666664,1,1277
550.0,400.0,680.0735254367721,0.22568306010928962,0.4666666666666667,4053,1
690.0,460.0,829.2767933567176,0.2617486338797814,0.36666666666666664,2,1278
550.0,450.0,710.6335201775947,0.22568306010928962,0.4666666666666667,4054,2
688.0,442.0,817.745681737299,0.2617486338797814,0.36666666666666664,3,1280
550.0,500.0,743.3034373659252,0.21420765027322405,0.45,4066,3
688.0,444.0,818.8284313578761,0.2617486338797814,0.36666666666666664,4,1281
550.0,550.0,777.8174593052023,0.21420765027322405,0.45,4067,4
688.0,446.0,819.9146297023856,0.2617486338797814,0.36666666666666664,5,1282
500.0,450.0,672.6812023536855,0.21020036429872496,0.4492063492063492,4072,5
688.0,448.0,821.00426308272,0.2617486338797814,0.36666666666666664,6,1283
500.0,400.0,640.3124237432849,0.2087431693989071,0.44761904761904764,4075,6
688.0,450.0,822.0973178401691,0.2617486338797814,0.36666666666666664,7,1284
500.0,350.0,610.3277807866851,0.20437158469945355,0.44285714285714284,4079,7
688.0,452.0,823.1937803457944,0.2617486338797814,0.36666666666666664,8,1285
600.0,450.0,750.0,0.24173822534478273,0.4373015873015873,3495,8
690.0,448.0,822.6809831277249,0.2617486338797814,0.36666666666666664,9,1286
500.0,300.0,583.09518948453,0.1970856102003643,0.43492063492063493,4088,9
690.0,452.0,824.8660497317125,0.2617486338797814,0.36666666666666664,10,1287
550.0,600.0,813.9410298049853,0.19986989331251626,0.43492063492063493,4083,10
690.0,454.0,825.9636795888788,0.2617486338797814,0.36666666666666664,11,1288
550.0,350.0,651.9202405202649,0.22404371584699453,0.43333333333333335,4057,11
690.0,456.0,827.0646891265519,0.2617486338797814,0.36666666666666664,12,1289
550.0,650.0,851.46931829632,0.19836065573770492,0.43333333333333335,4086,12
690.0,458.0,828.1690648653812,0.2617486338797814,0.36666666666666664,13,1290
600.0,550.0,813.9410298049853,0.226775956284153,0.43333333333333335,4051,13
690.0,462.0,830.3878611829534,0.2617486338797814,0.36666666666666664,14,1291
500.0,500.0,707.1067811865476,0.19763205828779598,0.4301587301587302,4087,14
690.0,464.0,831.5022549578564,0.2617486338797814,0.36666666666666664,15,1292
600.0,600.0,848.5281374238571,0.22505854800936767,0.4301587301587302,4056,15
690.0,466.0,832.6199613268949,0.2617486338797814,0.36666666666666664,16,1293
500.0,550.0,743.3034373659252,0.18961748633879782,0.42142857142857143,4094,16
690.0,468.0,833.7409669675588,0.2617486338797814,0.36666666666666664,17,1294
450.0,450.0,636.3961030678928,0.18548009367681498,0.42063492063492064,4100,17
686.0,430.0,809.627074646099,0.2617486338797814,0.36666666666666664,18,1418
600.0,400.0,721.1102550927978,0.24077543585740308,0.41984126984126985,3563,18
688.0,440.0,816.6663945577778,0.2617486338797814,0.36666666666666664,19,1423
450.0,400.0,602.0797289396148,0.18407494145199063,0.41904761904761906,4106,19
