stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
final_refine_2m,2.0,630.0,360.0,725.6031973468695,1.0,1.0,0.0,1.0,0.23770491803278687,0.23770491803278687,1.0,0.36666666666666664,0.36666666666666664,88.98706088733245,104.74641696349548,209.52100037103747,227.89759216819715,271.4715267624324,0.0,45.62828332748465,0.06830601092896176,1260,9
final_refine_2m,2.0,632.0,360.0,727.3403604915652,1.0,1.0,0.0,1.0,0.2385376008326828,0.2385376008326828,1.0,0.3674603174603175,0.3674603174603175,88.62274080985979,104.41531596598314,208.87003362910158,227.2178024437172,270.60700136150336,0.0,45.56146159641709,0.06651053864168618,1260,9
final_refine_2m,2.0,634.0,360.0,729.0788709049248,1.0,1.0,0.0,1.0,0.24020296643247463,0.24020296643247463,1.0,0.36904761904761907,0.36904761904761907,88.25961936358063,104.0864920984431,208.22031457171792,226.5392543653876,269.7441623337488,0.0,45.49447301153588,0.06895654436638043,1260,9
final_refine_2m,2.0,636.0,360.0,730.8187189720854,1.0,1.0,0.0,1.0,0.24186833203226646,0.24186833203226646,1.0,0.37063492063492065,0.37063492063492065,87.89769744859633,103.75885129573868,207.57184261102367,225.86194726255323,268.8830083983706,0.0,45.4268736990601,0.07067395264116576,1260,9
final_refine_2m,2.0,638.0,360.0,732.5598951621636,1.0,1.0,0.0,1.0,0.2443663804319542,0.2443663804319542,1.0,0.373015873015873,0.373015873015873,87.53697597976813,103.43239962015952,206.9246171649469,225.18588046964058,268.0235382807489,0.0,45.35866228069804,0.07252146760343482,1260,9
final_refine_2m,2.0,640.0,360.0,734.3023900274328,1.0,1.0,0.0,1.0,0.24439240176945096,0.24439240176945096,1.0,0.36904761904761907,0.36904761904761907,87.1774558867591,103.10714858440274,206.27863765724774,224.51105332619468,267.1657507124612,0.0,45.28983742400097,0.07423887587822015,1260,9
final_refine_2m,2.0,642.0,360.0,736.0461942025106,1.0,1.0,0.0,1.0,0.24418423106947698,0.24418423106947698,1.0,0.36428571428571427,0.36428571428571427,86.81913811409585,102.78309788991834,205.63390351754424,223.8374651769067,266.3096444313226,0.0,45.2203978425346,0.07462919594067136,1260,9
final_refine_2m,2.0,644.0,360.0,737.7912984035526,1.0,1.0,0.0,1.0,0.2386937288576633,0.2386937288576633,1.0,0.3547619047619048,0.3547619047619048,86.46202362121099,102.46025047946577,204.9904141813522,223.1651153716462,265.4552181814231,0.0,45.15038337845374,0.07343221441582097,1260,9
final_refine_2m,2.0,646.0,360.0,739.5376934274548,1.0,1.0,0.0,1.0,0.2463960447567005,0.2463960447567005,1.0,0.3634920634920635,0.3634920634920635,86.1061133824969,102.13860172006058,204.34816909012463,222.4940032654843,264.60247071312665,0.0,45.08079423143664,0.07163674212854541,1260,9
final_refine_2m,2.0,648.0,360.0,741.2853701510641,1.0,1.0,0.0,1.0,0.24806141035649232,0.24806141035649232,1.0,0.36507936507936506,0.36507936507936506,85.75140838735359,101.81815771473136,203.70716769128944,221.82412821872757,263.7514007831266,0.0,45.012006915441056,0.07103825136612021,1260,9
final_refine_2m,2.0,650.0,360.0,743.0343195303969,1.0,1.0,0.0,1.0,0.24972677595628415,0.24972677595628415,1.0,0.36666666666666664,0.36666666666666664,85.39790964023102,101.49891666530858,203.06740943827327,221.15548959694252,262.90200715446525,0.0,44.94399443034301,0.07103825136612021,1260,9
final_refine_2m,2.0,652.0,360.0,744.7845325998654,1.0,1.0,0.0,1.0,0.2494665625813167,0.2494665625813167,1.0,0.36587301587301585,0.36587301587301585,85.04561816067208,101.18088390580523,202.42889379056646,220.48808677099538,262.054288596576,0.0,44.87675274385246,0.07103825136612021,1260,9
final_refine_2m,2.0,654.0,360.0,746.5360004715111,1.0,1.0,0.0,1.0,0.24738485558157688,0.24738485558157688,1.0,0.3595238095238095,0.3595238095238095,84.69453498336021,100.86405700225697,201.79162021372665,219.76803396933573,261.20824388529394,0.0,44.81022866185072,0.07103825136612021,1260,9
final_refine_2m,2.0,656.0,360.0,748.2887143342468,1.0,1.0,0.0,1.0,0.2455633619568046,0.2455633619568046,1.0,0.353968253968254,0.353968253968254,84.34466115815046,100.54843462144403,201.15558817944518,219.02104025766022,260.3638718028996,0.0,44.74439625496403,0.07041373926619829,1260,9
final_refine_2m,2.0,658.0,360.0,750.0426654531061,1.0,1.0,0.0,1.0,0.2442622950819672,0.2442622950819672,1.0,0.35,0.35,83.99599775011554,100.23560475607258,200.52079716557327,218.27561458642506,259.5211711381526,0.0,44.67896290671539,0.07004944054124382,1260,9
final_refine_2m,2.0,660.0,360.0,751.7978451685001,1.0,1.0,0.0,1.0,0.2442622950819672,0.2442622950819672,1.0,0.35,0.35,83.64679702507806,99.92419856916041,199.88724665616135,217.5317560622807,258.6801406863115,0.0,44.612983004481,0.07257351027842832,1260,9
final_refine_2m,2.0,662.0,360.0,753.5542448954819,1.0,1.0,0.0,1.0,0.2442622950819672,0.2442622950819672,1.0,0.35,0.35,83.27156505120308,99.61400522918383,199.25493614149897,216.78946379946112,257.8407792491839,0.0,44.54637526651425,0.07447306791569086,1260,9
final_refine_2m,2.0,664.0,360.0,755.3118561230189,1.0,1.0,0.0,1.0,0.2442622950819672,0.2442622950819672,1.0,0.35,0.35,82.89774989973363,99.30503333040107,198.62386511816356,216.04873691982843,257.0030856351404,0.0,44.47913836281997,0.07624251886546969,1260,9
final_refine_2m,2.0,666.0,360.0,757.0706704132713,1.0,1.0,0.0,1.0,0.24340359094457456,0.24340359094457456,1.0,0.3476190476190476,0.3476190476190476,82.52535277696883,98.99726970551121,197.99403308904155,215.30957455293478,256.1670586591569,0.0,44.41127101144697,0.07814207650273224,1260,9
final_refine_2m,2.0,668.0,360.0,758.8306794008793,1.0,1.0,0.0,1.0,0.241399947957325,0.241399947957325,1.0,0.34206349206349207,0.34206349206349207,82.15437490749498,98.69070965261,197.3654395633878,214.57231279824006,255.3326971428537,0.0,44.342771978652635,0.07689305230288837,1260,9
final_refine_2m,2.0,670.0,360.0,760.5918747922568,1.0,1.0,0.0,1.0,0.24142596929482174,0.24142596929482174,1.0,0.3388888888888889,0.3388888888888889,81.7848175341975,98.38535335441597,196.73808405685733,213.89301296396792,254.49999991451133,0.0,44.27404484573579,0.07564402810304449,1260,9
final_refine_2m,2.0,672.0,360.0,762.3542483648923,1.0,1.0,0.0,1.0,0.2419984387197502,0.2419984387197502,1.0,0.3373015873015873,0.3373015873015873,81.41668191827736,98.08120098519362,196.1119660915564,213.21503781478677,253.66896580912234,0.0,44.206154456066066,0.07377049180327869,1260,9
final_refine_2m,2.0,674.0,360.0,764.1177919666575,1.0,1.0,0.0,1.0,0.24371584699453552,0.24371584699453552,1.0,0.3388888888888889,0.3388888888888889,81.04996933925105,97.77825271069807,195.4870851960691,212.53838671046546,252.83959366842106,0.0,44.139098438370894,0.07377049180327869,1260,9
final_refine_2m,2.0,676.0,360.0,765.8824975151215,1.0,1.0,0.0,1.0,0.24543325526932083,0.24543325526932083,1.0,0.3404761904761905,0.3404761904761905,80.68468109496075,97.47650868812086,194.86344090550523,211.86305901708042,252.01188234091254,0.0,44.07283906414198,0.07377049180327869,1260,9
final_refine_2m,2.0,678.0,360.0,767.6483569968739,1.0,1.0,0.0,1.0,0.24800936768149884,0.24800936768149884,1.0,0.34285714285714286,0.34285714285714286,80.32081850156197,97.17596906603934,194.2410327615577,211.18905410706714,251.18583068191342,0.0,44.00734793200846,0.07377049180327869,1260,9
final_refine_2m,2.0,680.0,360.0,769.4153624668538,1.0,1.0,0.0,1.0,0.24847775175644027,0.24847775175644027,1.0,0.3412698412698413,0.3412698412698413,79.95838289352795,96.87663398436682,193.61986031252104,210.51637135924173,250.36143755358864,0.0,43.94259702441503,0.07377049180327869,1260,9
final_refine_2m,2.0,682.0,360.0,771.1835060476851,1.0,1.0,0.0,1.0,0.2483216237314598,0.2483216237314598,1.0,0.3380952380952381,0.3380952380952381,79.5973756236257,96.57922226167449,192.99992311335933,209.84501015885078,249.5387018249749,0.0,43.878558702376154,0.07181889149102264,1260,9
final_refine_2m,2.0,684.0,360.0,772.95277992902,1.0,1.0,0.0,1.0,0.248711943793911,0.248711943793911,1.0,0.3349206349206349,0.3349206349206349,79.2377980629117,96.28419712557758,192.38122072572972,209.17496989761756,248.71762237204211,0.0,43.814359355533234,0.07364038511579495,1260,9
