candidate,x,y,movement_distance,target_count,epsilon_count,area_fraction_near_direct_clear,uniform_fraction_near_direct_clear,area_fraction_guaranteed_rx_failure,uniform_fraction_guaranteed_rx_failure,area_fraction_localization_unbounded,uniform_fraction_localization_unbounded,area_fraction_localization_empty,uniform_fraction_localization_empty,area_fraction_diameter_over_40,uniform_fraction_diameter_over_40,area_fraction_diameter_circle_failure,uniform_fraction_diameter_circle_failure,area_fraction_robust_clear_ready,uniform_fraction_robust_clear_ready,guaranteed_receive_area_coverage,robust_clear_ready_area_coverage,operational_good_area_coverage,robust_clear_ready_uniform_coverage,worst_diameter_p50,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_target_area,circle_failure_fraction_of_target_area
recommended,691.0,475.0,838.5141620747976,9720,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262014080195899,0.6219135802469136,0.015013774104683195,0.016666666666666666,0.258784817875727,0.36141975308641977,1.0,0.258784817875727,0.258784817875727,0.36141975308641977,69.42914349392962,80.84224440621355,151.25114440775383,162.8873015930937,188.19236257787102,0.0,0.015013774104683195
previous_optimization_best,690.0,468.0,833.7409669675588,9720,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262371186613611,0.6220164609053498,0.015013774104683195,0.016666666666666666,0.2587491072339557,0.36131687242798355,1.0,0.2587491072339557,0.2587491072339557,0.36131687242798355,69.87956027590411,81.5035179194816,152.99720431406197,164.91728953057032,190.95178691877746,0.0,0.015013774104683195
short_90pct,620.0,320.0,697.7105417004963,9720,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7506734006734007,0.6236625514403292,0.013636363636363636,0.016666666666666666,0.2356902356902357,0.3596707818930041,1.0,0.2356902356902357,0.2356902356902357,0.3596707818930041,96.79647683867991,114.77974808624595,234.50261493237076,256.3812095468315,314.93128337391204,0.0,0.013636363636363636
middle_97pct,648.0,386.0,754.2545989253231,9720,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7348484848484849,0.6092592592592593,0.01418732782369146,0.016666666666666666,0.2509641873278237,0.37407407407407406,1.0,0.2509641873278237,0.2509641873278237,0.37407407407407406,81.90664948045563,96.16817713782862,189.75602650504302,205.56807179030957,245.0621636221613,0.0,0.01418732782369146
uniform_weight_best,550.0,400.0,680.0735254367721,9720,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592082440567289,0.5114197530864197,0.011983471074380166,0.016666666666666666,0.22880828486889093,0.4719135802469136,1.0,0.22880828486889093,0.22880828486889093,0.4719135802469136,97.25764184846835,109.10356182912813,213.64739858435453,230.72512126444522,274.00257667215277,0.0,0.011983471074380166
orthogonal_baseline,806.9809625749134,399.9390780625565,900.6495101424646,9720,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747121042070537,0.7292181069958847,0.026446280991735537,0.025,0.22643267693772745,0.24578189300411524,1.0,0.22643267693772745,0.22643267693772745,0.24578189300411524,60.99345318897729,75.74663581350804,142.18893025521135,154.57984835022123,182.35998583776407,0.0,0.026446280991735537
