x,y,near_guaranteed_rx,near_near,near_direction_available,near_robust_clear_ready,near_operational_good,near_worst_diameter,far_guaranteed_rx,far_near,far_direction_available,far_robust_clear_ready,far_operational_good,far_worst_diameter,both_operational_good
-1300.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1300.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,0.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1200.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,0.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1100.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,0.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-1000.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,0.0,True,False,True,False,False,inf,False,False,False,False,False,nan,False
-900.0,100.0,True,False,True,False,False,555.5003963483189,False,False,False,False,False,nan,False
-900.0,200.0,True,False,True,False,False,198.3185661505772,False,False,False,False,False,nan,False
-900.0,300.0,True,False,True,False,False,126.73997252696664,False,False,False,False,False,nan,False
-900.0,400.0,True,False,True,False,False,97.74194351231,False,False,False,False,False,nan,False
-900.0,500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-900.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,0.0,True,False,True,False,False,inf,False,False,False,False,False,nan,False
-800.0,100.0,True,False,True,False,False,401.32628060529856,False,False,False,False,False,nan,False
-800.0,200.0,True,False,True,False,False,153.70859094292592,False,False,False,False,False,nan,False
-800.0,300.0,True,False,True,False,False,100.88544044118217,False,False,False,False,False,nan,False
-800.0,400.0,True,False,True,False,False,79.53644914650316,False,False,False,False,False,nan,False
-800.0,500.0,True,False,True,False,False,69.03885720503968,False,False,False,False,False,nan,False
-800.0,600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-800.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,0.0,True,False,True,False,False,inf,False,False,False,False,False,nan,False
-700.0,100.0,True,False,True,False,False,283.8814235792753,False,False,False,False,False,nan,False
-700.0,200.0,True,False,True,False,False,116.25159125745269,False,False,False,False,False,nan,False
-700.0,300.0,True,False,True,False,False,78.71730752261648,False,False,False,False,False,nan,False
-700.0,400.0,True,False,True,False,False,63.78122021089863,False,False,False,False,False,nan,False
-700.0,500.0,True,False,True,False,False,56.80423078844578,False,False,False,False,False,nan,False
-700.0,600.0,True,False,True,False,False,53.54621120046937,False,False,False,False,False,nan,False
-700.0,700.0,True,False,True,False,False,52.32472414835659,False,False,False,False,False,nan,False
-700.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-700.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,0.0,True,False,True,False,False,inf,False,False,False,False,False,nan,False
-600.0,100.0,True,False,True,False,False,194.70292368872833,False,False,False,False,False,nan,False
-600.0,200.0,True,False,True,False,False,85.2790335977997,False,False,False,False,False,nan,False
-600.0,300.0,True,False,True,False,False,60.019486733619175,False,False,False,False,False,nan,False
-600.0,400.0,True,False,True,False,False,50.37163674089891,False,False,False,False,False,nan,False
-600.0,500.0,True,False,True,False,False,46.33562568109411,False,False,False,False,False,nan,False
-600.0,600.0,True,False,True,False,False,44.949415497707314,False,False,False,False,False,nan,False
-600.0,700.0,True,False,True,False,False,45.023667191954004,False,False,False,False,False,nan,False
-600.0,800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
