x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count,target_radius
-500.0,-1800.0,1868.1541692269404,-105.52411099675426,0.0,1.0,0.0,1.0,0.0,80.63811347668661,82.83072214692285,82.98422700564537,0,9,45,45,0,45,0,0,0,300.0
-500.0,-1800.0,1868.1541692269404,-105.52411099675426,0.0,1.0,0.0,1.0,0.0,101.38562565393185,104.95598184843736,105.56346511853016,0,9,45,45,0,45,0,0,0,600.0
-500.0,-1800.0,1868.1541692269404,-105.52411099675426,0.0,1.0,0.0,1.0,0.0,129.32610438964153,134.64245378433426,136.14559601852858,0,9,45,45,0,45,0,0,0,900.0
-500.0,-1800.0,1868.1541692269404,-105.52411099675426,0.0,1.0,0.0,1.0,0.0,164.16095219353642,171.73443678324742,174.72791482984894,0,9,45,45,0,45,0,0,0,1200.0
-500.0,-1800.0,1868.1541692269404,-105.52411099675426,0.0,1.0,0.0,1.0,0.0,205.8084277496912,216.36487272973235,221.5327317851495,0,9,45,45,0,45,0,0,0,1500.0
-400.0,-1800.0,1843.9088914585775,-102.52880770915151,0.0,1.0,0.0,1.0,0.0,77.1711508029645,79.07285745915871,79.19377736527254,0,9,45,45,0,45,0,0,0,300.0
-400.0,-1800.0,1843.9088914585775,-102.52880770915151,0.0,1.0,0.0,1.0,0.0,96.25570776074468,99.42838435582698,99.94208337539071,0,9,45,45,0,45,0,0,0,600.0
-400.0,-1800.0,1843.9088914585775,-102.52880770915151,0.0,1.0,0.0,1.0,0.0,122.54439185499628,127.31607368195169,128.6341919264774,0,9,45,45,0,45,0,0,0,900.0
-400.0,-1800.0,1843.9088914585775,-102.52880770915151,0.0,1.0,0.0,1.0,0.0,155.70608195342345,162.54845479257096,165.23299865497057,0,9,45,45,0,45,0,0,0,1200.0
-400.0,-1800.0,1843.9088914585775,-102.52880770915151,0.0,1.0,0.0,1.0,0.0,195.65001218405453,205.2510291474846,209.9496789923661,0,9,45,45,0,45,0,0,0,1500.0
-300.0,-1800.0,1824.8287590894658,-99.46232220802563,0.0,1.0,0.0,1.0,0.0,74.09219272866108,75.72939955375966,75.82162555368448,0,9,45,45,0,45,0,0,0,300.0
-300.0,-1800.0,1824.8287590894658,-99.46232220802563,0.0,1.0,0.0,1.0,0.0,91.51862519859338,94.33211616453244,94.76009944422613,0,9,45,45,0,45,0,0,0,600.0
-300.0,-1800.0,1824.8287590894658,-99.46232220802563,0.0,1.0,0.0,1.0,0.0,116.16495684235157,120.44241312979327,121.58827099742687,0,9,45,45,0,45,0,0,0,900.0
-300.0,-1800.0,1824.8287590894658,-99.46232220802563,0.0,1.0,0.0,1.0,0.0,147.6624590840807,153.83614849640475,156.22964152886195,0,9,45,45,0,45,0,0,0,1200.0
-300.0,-1800.0,1824.8287590894658,-99.46232220802563,0.0,1.0,0.0,1.0,0.0,185.90923967203986,194.62339618632984,198.88230678347216,0,9,45,45,0,45,0,0,0,1500.0
-200.0,-1800.0,1811.0770276274834,-96.3401917459099,0.0,1.0,0.0,1.0,0.0,71.40049376376625,72.7960599387024,72.86343420169567,0,9,45,45,0,45,0,0,0,300.0
-200.0,-1800.0,1811.0770276274834,-96.3401917459099,0.0,1.0,0.0,1.0,0.0,87.17306913780668,89.66233191260221,90.01253658964318,0,9,45,45,0,45,0,0,0,600.0
-200.0,-1800.0,1811.0770276274834,-96.3401917459099,0.0,1.0,0.0,1.0,0.0,110.18711593365758,114.01720326989346,115.00337971948,0,9,45,45,0,45,0,0,0,900.0
-200.0,-1800.0,1811.0770276274834,-96.3401917459099,0.0,1.0,0.0,1.0,0.0,140.0304267749984,145.5941615939223,147.71427110910636,0,9,45,45,0,45,0,0,0,1200.0
-200.0,-1800.0,1811.0770276274834,-96.3401917459099,0.0,1.0,0.0,1.0,0.0,176.58722568369447,184.48000095256197,188.32763699145607,0,9,45,45,0,45,0,0,0,1500.0
-100.0,-1800.0,1802.7756377319947,-93.17983011986423,0.0,1.0,0.0,1.0,0.0,69.09527731931428,70.26853639397733,70.31485587760137,0,9,45,45,0,45,0,0,0,300.0
-100.0,-1800.0,1802.7756377319947,-93.17983011986423,0.0,1.0,0.0,1.0,0.0,83.21744649071795,85.41393253323649,85.69416107896713,0,9,45,45,0,45,0,0,0,600.0
-100.0,-1800.0,1802.7756377319947,-93.17983011986423,0.0,1.0,0.0,1.0,0.0,104.60984667117323,108.03588408936817,108.87476467699024,0,9,45,45,0,45,0,0,0,900.0
-100.0,-1800.0,1802.7756377319947,-93.17983011986423,0.0,1.0,0.0,1.0,0.0,132.8101376658262,137.81899903143025,139.68317237126246,0,9,45,45,0,45,0,0,0,1200.0
-100.0,-1800.0,1802.7756377319947,-93.17983011986423,0.0,1.0,0.0,1.0,0.0,167.6850687942904,174.81889130741354,178.282727700968,0,9,45,45,0,45,0,0,0,1500.0
0.0,-1800.0,1800.0,-90.0,0.0,1.0,0.0,1.0,0.0,67.17576427413984,68.14253862037023,68.17155986385595,0,9,45,45,0,45,0,0,0,300.0
0.0,-1800.0,1800.0,-90.0,0.0,1.0,0.0,1.0,0.0,79.64986692922986,81.58154773223004,81.79946563997403,0,9,45,45,0,45,0,0,0,600.0
0.0,-1800.0,1800.0,-90.0,0.0,1.0,0.0,1.0,0.0,99.43171180266907,102.4935284440283,103.19729427559695,0,9,45,45,0,45,0,0,0,900.0
0.0,-1800.0,1800.0,-90.0,0.0,1.0,0.0,1.0,0.0,126.00147589908137,130.50695092651262,132.1324086375123,0,9,45,45,0,45,0,0,0,1200.0
0.0,-1800.0,1800.0,-90.0,0.0,1.0,0.0,1.0,0.0,159.20380202188304,165.63808791986776,168.7446247544171,0,9,45,45,0,45,0,0,0,1500.0
100.0,-1800.0,1802.7756377319947,-86.82016988013577,0.0,1.0,0.0,1.0,0.0,65.64120976766522,66.41382243714659,66.42926745100965,0,9,45,45,0,45,0,0,0,300.0
100.0,-1800.0,1802.7756377319947,-86.82016988013577,0.0,1.0,0.0,1.0,0.0,76.46814936031355,78.15953655300578,78.32267189784032,0,9,45,45,0,45,0,0,0,600.0
100.0,-1800.0,1802.7756377319947,-86.82016988013577,0.0,1.0,0.0,1.0,0.0,94.65078304384582,97.38476479667749,97.96537922164963,0,9,45,45,0,45,0,0,0,900.0
100.0,-1800.0,1802.7756377319947,-86.82016988013577,0.0,1.0,0.0,1.0,0.0,119.603964889803,123.65400235187997,125.05772765751738,0,9,45,45,0,45,0,0,0,1200.0
100.0,-1800.0,1802.7756377319947,-86.82016988013577,0.0,1.0,0.0,1.0,0.0,151.14432994499415,156.9355220847434,159.7102986919892,0,9,45,45,0,45,0,0,0,1500.0
200.0,-1800.0,1811.0770276274834,-83.6598082540901,0.0,1.0,0.0,1.0,0.0,64.49094565648143,65.07823030514098,65.08379335900928,0,9,45,45,0,45,0,0,0,300.0
200.0,-1800.0,1811.0770276274834,-83.6598082540901,0.0,1.0,0.0,1.0,0.0,73.6698541945208,75.14201230204569,75.25775827830503,0,9,45,45,0,45,0,0,0,600.0
200.0,-1800.0,1811.0770276274834,-83.6598082540901,0.0,1.0,0.0,1.0,0.0,90.26457097335496,92.70370490709344,93.17289834321733,0,9,45,45,0,45,0,0,0,900.0
200.0,-1800.0,1811.0770276274834,-83.6598082540901,0.0,1.0,0.0,1.0,0.0,113.61666145299235,117.25572950337379,118.45445321435484,0,9,45,45,0,45,0,0,0,1200.0
